mode,seed,round,pair_id,operator,guided_id,control_id,effect,standard_error,prediction_verdict,next_action,target_slice,ci95_low,ci95_high
context_proposal,17,0,pair_0000_00_restart_crossfit_monotone,whole_program_restart,sol_0003,sol_0004,0.00034188289961137287,0.0012321190565126752,inconclusive,revise,instance:public-put-high-vol,-0.002073026075818942,0.0027567918750416873
context_proposal,17,0,pair_0000_01_mutate_residual_policy_iteration,ast_mutation,sol_0005,sol_0006,,,execution_failed,falsify,instance:public-put-high-vol,,
context_proposal,17,1,pair_0001_00_crossover_uncertainty_gate,ast_crossover,sol_0007,sol_0008,0.0006104984220279409,0.0004238768491327892,inconclusive,revise,instance:public-put-high-vol,-0.00022028493615264375,0.0014412817802085256
context_proposal,17,1,pair_0001_01_rewrite_fit_oof_residual,subsystem_rewrite,sol_0009,sol_0010,-4.8680108349198294e-05,0.0005381204243623077,inconclusive,revise,instance:public-put-high-vol,-0.0011033767594447314,0.0010060165427463348
context_proposal,29,0,pair_0000_00_knn_margin_restart,whole_program_restart,sol_0003,sol_0004,-0.007850528927713258,0.0022413849624108645,refuted,restart,instance:public-put-high-vol,-0.012243562729528213,-0.003457495125898302
context_proposal,29,0,pair_0000_01_ridge_irls_ast_mutation,ast_mutation,sol_0005,sol_0006,0.0006068459762830097,0.0010939059301864023,inconclusive,revise,instance:public-put-atm,-0.0015371702493571253,0.0027508622019231446
context_proposal,29,1,pair_0001_00_boundary_gated_ridge_irls_crossover,ast_crossover,sol_0007,sol_0008,-0.0010945485616195038,0.0003986339310827018,refuted,restart,instance:public-put-atm,-0.001875856709557221,-0.00031324041368178653
context_proposal,29,1,pair_0001_01_crossfit_shrinkage_fit_rewrite,subsystem_rewrite,sol_0009,sol_0010,-0.0017105448290853078,0.0006676620450279786,refuted,restart,instance:public-put-atm,-0.003019138391184505,-0.0004019512669861103
context_proposal,41,0,pair_0000_00_restart_crossfit_margin_forest,whole_program_restart,sol_0003,sol_0004,,,execution_failed,falsify,instance:public-put-high-vol,,
context_proposal,41,0,pair_0000_01_mutate_residual_robust_backward,ast_mutation,sol_0005,sol_0006,-0.000992423678552704,0.0017586076129229734,inconclusive,revise,instance:public-put-high-vol,-0.004439231262819687,0.002454383905714279
context_proposal,41,1,pair_0001_00_compose_ridge_residual_validation_gate,ast_crossover,sol_0007,sol_0008,-0.0005100048596221778,0.0009769922283620128,inconclusive,revise,instance:public-put-high-vol,-0.002424874440387254,0.0014048647211428987
context_proposal,41,1,pair_0001_01_rewrite_fit_boundary_calibration,subsystem_rewrite,sol_0009,sol_0010,-0.0002741971302650482,0.0013726377104145062,inconclusive,revise,instance:public-put-high-vol,-0.002964517606499,0.0024161233459689038
direct_generation,17,0,pair_0000_00_direct_r0_0,whole_program_restart,sol_0003,sol_0004,0.0006878780200355273,0.0008525086619731786,inconclusive,revise,instance:public-put-atm,-0.0009830082539403334,0.0023587642940113883
direct_generation,17,0,pair_0000_01_direct_r0_1,ast_mutation,sol_0005,sol_0006,-0.0022055823235977382,0.0012700500299682612,inconclusive,revise,instance:public-put-atm,-0.004694834640899545,0.0002836699937040694
direct_generation,17,1,pair_0001_00_direct_r1_0,ast_crossover,sol_0007,sol_0008,0.002164165982557403,0.0012187638491299075,inconclusive,revise,instance:public-put-atm,-0.00022456726739662324,0.004552899232511429
direct_generation,17,1,pair_0001_01_direct_r1_1,subsystem_rewrite,sol_0009,sol_0010,-0.0009581847185271288,0.0012526465764243588,inconclusive,revise,instance:public-put-atm,-0.003413326893676272,0.0014969574566220142
direct_generation,29,0,pair_0000_00_direct_r0_0,whole_program_restart,sol_0003,sol_0004,,,execution_failed,falsify,instance:public-put-atm,,
direct_generation,29,0,pair_0000_01_direct_r0_1,ast_mutation,sol_0005,sol_0006,,,execution_failed,falsify,instance:public-put-atm,,
direct_generation,29,1,pair_0001_00_direct_r1_0,ast_crossover,sol_0007,sol_0008,0.0005230682313612574,0.0011103846439835315,inconclusive,revise,instance:public-put-atm,-0.0016532456798327938,0.002699382142555309
direct_generation,29,1,pair_0001_01_direct_r1_1,subsystem_rewrite,sol_0009,sol_0010,-0.0016002111488919884,0.0006393401692055701,refuted,restart,instance:public-put-atm,-0.0028532948544046496,-0.0003471274433793272
direct_generation,41,0,pair_0000_00_direct_r0_0,whole_program_restart,sol_0003,sol_0004,-0.0017091343730713774,0.0009050876534253063,inconclusive,revise,instance:public-put-atm,-0.003483073576636848,6.48048304940931e-05
direct_generation,41,0,pair_0000_01_direct_r0_1,ast_mutation,sol_0005,sol_0006,,,execution_failed,falsify,instance:public-put-atm,,
direct_generation,41,1,pair_0001_00_direct_r1_0,ast_crossover,sol_0007,sol_0008,-0.0021875549593385413,0.0012721632567976027,inconclusive,revise,instance:public-put-atm,-0.004680949125117022,0.0003058392064399394
direct_generation,41,1,pair_0001_01_direct_r1_1,subsystem_rewrite,sol_0009,sol_0010,-0.00038038808234389223,0.0006113853993240403,inconclusive,revise,instance:public-put-atm,-0.00157868144569265,0.0008179052810048655
