id	parent	iteration	status	description	n	sums	diffs	span	score	solver_seconds	evaluator_seconds	total_seconds	set_hash	artifact_sha256
sol_0000			ok	official SimpleTES 17-element seed	17	59	55	29	1.0597930945472454	0.07380683299561497	0.032945792001555674	0.10923204199934844	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	e7f9674c89132221dae92b39d55d1a8d1371fd618b27b5eb75bbf6bef819bd68
sol_0001	sol_0000	0	ok	Implemented the 160-second, 32-restart simulated-annealing experiment in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0000/solver.py). - Uses deterministic seed `4` - Exact sum/difference scoring - Requested 70/15/15 mutations with size bounds - Atomically checkpoints the best valid solution - Syntax verified; solver not executed - Did not create `PROPOSAL.md` because the final constraint permits modifying only `solver.py`	17	67	61	33	1.0734301120997747	160.05089262500405	0.035826958002871834	160.08905433300242	9a1ddfe6abde28fdc8560d20d5576a969a2bedbb9d9ba109a93e2c324c81d9d0	fc48eda448b91083d3f9de355a47c68f28473b00e3844f16ccd284f4ea7ba651
sol_0002	sol_0001	1	ok	Implemented the focused iterated tabu search in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0001/solver.py): - Starts from the actual `sol_0001` incumbent. - Fixed `n=17`, replacements in `[0,64]`. - Translation/GCD canonicalization. - Tabu tenure 50; two-element kick after 20 non-improving moves. - Deterministic seed `4001`. - Atomic improvement checkpoints over 155 seconds. - Bounded score cache for memory safety. Syntax was checked without running the s	17	67	61	33	1.0734301120997747	155.09680624998873	0.03371462499490008	155.1353317089961	9a1ddfe6abde28fdc8560d20d5576a969a2bedbb9d9ba109a93e2c324c81d9d0	c707242e22d62141b63d0423c7d8365d90fbd67069509c9f2d35d9341b1b511d
sol_0003	sol_0001	2	ok	Implemented the structured evolutionary search in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0002/solver.py). - Seed `4002` - 165-second search - Population 256, elite 32, tournament 4 - Uniform fringe crossover and 0.08 bit mutation - Exact bitset scoring - Atomic incumbent checkpoints Static syntax validation passed. The solver was not executed. `PROPOSAL.md` was omitted to honor the binding one-file constraint.	17	59	55	29	1.0597930945472454	165.12853562500095	0.03317162500752602	165.1662808330002	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	3ba806afaa9a83aa96690e983f09e14f98d9978fdcb62661ad6ff597b0c63f0c
sol_0004	sol_0001	3	ok	Implemented the focused large-neighborhood beam search in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0003/solver.py): - Exact `sol_0001` parent set - Seed `4003` - 155-second limit, 24 chains - Destroy sizes 3–5 - Width-64 exhaustive insertion beam over `[0,96]` - Translation/gcd canonicalization - Atomic improvement checkpoints AST validation passed. The solver was not executed. `PROPOSAL.md` was not created because the final constraint permits changes o	17	67	61	33	1.0734301120997747	155.09158295798989	0.02710004099935759	155.12199699999474	9a1ddfe6abde28fdc8560d20d5576a969a2bedbb9d9ba109a93e2c324c81d9d0	c707242e22d62141b63d0423c7d8365d90fbd67069509c9f2d35d9341b1b511d
sol_0005	sol_0001	4	ok	Implemented the 155-second parallel-tempering experiment in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0004/solver.py): - 24 replicas, temperatures `0.0001–0.05` - Seed `4004` - Exact scoring and canonicalization - Specified mutation proportions and replica swaps - Atomic checkpointing on every improvement - Size `12–32`, coordinates `0–160` - Static syntax validation passed The solver was not executed. `PROPOSAL.md` was not created because the final harn	17	67	61	33	1.0734301120997747	155.09858549998899	0.035627874996862374	155.1377402920043	9a1ddfe6abde28fdc8560d20d5576a969a2bedbb9d9ba109a93e2c324c81d9d0	c707242e22d62141b63d0423c7d8365d90fbd67069509c9f2d35d9341b1b511d
sol_0006	sol_0001	6	ok	Implemented the exhaustive endpoint-fringe sweep in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0006/solver.py:43). - Enumerates all \(512^2\) fringe pairs for \(m=20\ldots160\). - Uses exact bitmask cardinalities and cached logarithms. - Atomically preserves/checkpoints the incumbent. - Stops safely after 165 seconds. - Static syntax and whitespace checks passed. - Solver was not executed. - No `PROPOSAL.md` was created because only `solver.py` may change	17	59	55	29	1.0597930945472454	15.304484416003106	0.03964520900626667	15.346846667001955	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	3ba806afaa9a83aa96690e983f09e14f98d9978fdcb62661ad6ff597b0c63f0c
sol_0007	sol_0001	5	ok	Implemented the deterministic cross-entropy mask search in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0005/solver.py). - Seed `4005`, domain `[0,63]` - 2,048 samples, 64 elites, 128 valid mutations per elite - Exact scoring, smoothing `alpha=0.20`, stagnation restart - Atomic incumbent/improvement checkpoints - Syntax and whitespace validated without executing the solver No `PROPOSAL.md` was created because the harness explicitly permits changes only to `	17	67	61	33	1.0734301120997747	154.42416337500617	0.033036084001651034	154.46047333399474	9a1ddfe6abde28fdc8560d20d5576a969a2bedbb9d9ba109a93e2c324c81d9d0	c707242e22d62141b63d0423c7d8365d90fbd67069509c9f2d35d9341b1b511d
sol_0008	sol_0001	7	ok	Implemented the fixed-\(n=17\) exhaustive 2-for-2 beam search in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0007/solver.py). - Uses exact bitset cardinalities over insertions from `[0,96]` - Retains 32 unseen canonical candidates - Uses deterministic seed `4007` - Atomically checkpoints strict improvements - Stops safely at 155 seconds - Static syntax validation passed; solver was not executed `PROPOSAL.md` was omitted because the binding protocol permits	17	67	61	33	1.0734301120997747	155.12449383300554	0.04722041699278634	155.17776883300394	9a1ddfe6abde28fdc8560d20d5576a969a2bedbb9d9ba109a93e2c324c81d9d0	c707242e22d62141b63d0423c7d8365d90fbd67069509c9f2d35d9341b1b511d
sol_0009	sol_0001	8	ok	Implemented the dense-core/fringe simulated-annealing experiment in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0008/solver.py). - 32 replicas, deterministic seed `4008` - 80% fringe-bit and 20% geometry mutations - Exact bitset-based scoring - Incumbent fallback and projected seeding - Atomic solution checkpoints - 160-second search budget Static syntax validation passed. The solver was not executed. `PROPOSAL.md` was omitted because only `solver.py` may	31	114	105	68	1.0674097610498199	160.29432099999394	0.04896608300623484	160.34673433299758	82bd4baf7606e258e6c6b7bd857bcb0f50588712f61c1230ea27704debbe9380	b1af3940b3c8725eb2a6c4ac856b4fe5682d4f6538899844df94f9c00ddcfb26
